,eth,code,gsm
173,Caucasian,GM12762,GSM25632
174,Caucasian,GM12762,GSM25633
175,Caucasian,GM12763,GSM25634
176,Caucasian,GM12763,GSM25635
177,Caucasian,GM12812,GSM25656
178,Caucasian,GM12812,GSM25657
179,Caucasian,GM12813,GSM25658
180,Caucasian,GM12813,GSM25659
181,Caucasian,GM12814,GSM25660
182,Caucasian,GM12814,GSM25661
183,Caucasian,GM12815,GSM25662
184,Caucasian,GM12815,GSM25663
185,Caucasian,GM12872,GSM25680
186,Caucasian,GM12872,GSM25681
187,Caucasian,GM12873,GSM25682
188,Caucasian,GM12873,GSM25683
189,Caucasian,GM12874,GSM25684
190,Caucasian,GM12874,GSM25685
191,Caucasian,GM12875,GSM25686
192,Caucasian,GM12875,GSM25687
193,Caucasian,GM11829,GSM48650
194,Caucasian,GM11830,GSM48651
195,Caucasian,GM11831,GSM48652
196,Caucasian,GM11832,GSM48653
197,Caucasian,GM11839,GSM48654
198,Caucasian,GM12003,GSM48655
199,Caucasian,GM12004,GSM48656
200,Caucasian,GM12005,GSM48657
201,Caucasian,GM12006,GSM48658
202,Caucasian,GM12057,GSM48660
203,Caucasian,GM12234,GSM48661
204,Caucasian,GM12716,GSM48662
205,Caucasian,GM12717,GSM48663
206,Caucasian,GM12891,GSM48664
207,Caucasian,GM12892,GSM48665
